nombre,categoria
Angular,Frontend
Bootstrap,Frontend
CSS,Frontend
GraphQL,Frontend
HTML,Frontend
JavaScript,Frontend
Next.js,Frontend
Nuxt.js,Frontend
React,Frontend
SASS/SCSS,Frontend
Svelte,Frontend
Tailwind CSS,Frontend
TypeScript,Frontend
Vite,Frontend
Vue.js,Frontend
Webpack,Frontend
ASP.NET,Backend
Django,Backend
Express.js,Backend
Flask,Backend
Go,Backend
Java,Backend
Laravel,Backend
Node.js,Backend
PHP,Backend
Python,Backend
REST APIs,Backend
Ruby on Rails,Backend
Rust,Backend
Spring Boot,Backend
WebSockets,Backend
Drupal,CMS
Joomla,CMS
Magento,CMS
Shopify,CMS
Webflow,CMS
Wix,CMS
WordPress,CMS
BigQuery,Bases de Datos
Elasticsearch,Bases de Datos
Firebase,Bases de Datos
MariaDB,Bases de Datos
MongoDB,Bases de Datos
MySQL,Bases de Datos
Neo4j,Bases de Datos
Oracle,Bases de Datos
PostgreSQL,Bases de Datos
Redis,Bases de Datos
SQL,Bases de Datos
SQL Server,Bases de Datos
SQLite,Bases de Datos
Supabase,Bases de Datos
AWS,DevOps & Cloud
Ansible,DevOps & Cloud
Azure,DevOps & Cloud
Backup,DevOps & Cloud
Bash,DevOps & Cloud
CI/CD,DevOps & Cloud
Docker,DevOps & Cloud
Git,DevOps & Cloud
Google Cloud,DevOps & Cloud
Kubernetes,DevOps & Cloud
Linux,DevOps & Cloud
Monitorización,DevOps & Cloud
PowerShell,DevOps & Cloud
Proxy,DevOps & Cloud
Terraform,DevOps & Cloud
Cisco,Redes & Seguridad
DNS,Redes & Seguridad
Firewalls,Redes & Seguridad
VPN,Redes & Seguridad
Windows Server,Redes & Seguridad
Apache Spark,Analítica de Datos
Data Warehousing,Analítica de Datos
ETL,Analítica de Datos
Excel,Analítica de Datos
Google Analytics,Analítica de Datos
Looker Studio,Analítica de Datos
Machine Learning,Analítica de Datos
Power BI,Analítica de Datos
R,Analítica de Datos
Tableau,Analítica de Datos
Adobe XD,Diseño UX/UI & Gráfico
After Effects,Diseño UX/UI & Gráfico
Blender,Diseño UX/UI & Gráfico
Canva,Diseño UX/UI & Gráfico
Design Systems,Diseño UX/UI & Gráfico
Diseño UX/UI,Diseño UX/UI & Gráfico
Figma,Diseño UX/UI & Gráfico
GIMP,Diseño UX/UI & Gráfico
Illustrator,Diseño UX/UI & Gráfico
InDesign,Diseño UX/UI & Gráfico
Inkscape,Diseño UX/UI & Gráfico
Photoshop,Diseño UX/UI & Gráfico
Premiere Pro,Diseño UX/UI & Gráfico
Prototipado,Diseño UX/UI & Gráfico
Sketch,Diseño UX/UI & Gráfico
Teoría del Color,Diseño UX/UI & Gráfico
Tipografía,Diseño UX/UI & Gráfico
Wireframing,Diseño UX/UI & Gráfico
Cypress,Testing
Jest,Testing
Playwright,Testing
Postman,Testing
Pruebas de Integración,Testing
Pruebas E2E,Testing
Pruebas Unitarias,Testing
QA Testing,Testing
Selenium,Testing
Adaptabilidad,Soft Skills
Comunicación,Soft Skills
Gestión del Tiempo,Soft Skills
Kanban,Soft Skills
Liderazgo,Soft Skills
Metodologías Ágiles,Soft Skills
Pensamiento Crítico,Soft Skills
Resolución de Problemas,Soft Skills
Scrum,Soft Skills
Trabajo en Equipo,Soft Skills
